sample_id	ecotype	SRR	SRX
SRR18116353	NN	SRR18116353	SRX14267148
SRR18116354	NN	SRR18116354	SRX14267147
SRR18116355	NN	SRR18116355	SRX14267146
SRR18116356	NN	SRR18116356	SRX14267145
SRR18116357	NN	SRR18116357	SRX14267144
SRR18116358	NN	SRR18116358	SRX14267143
SRR18116359	NN	SRR18116359	SRX14267142
SRR18116360	NN	SRR18116360	SRX14267141
SRR18116362	NN	SRR18116362	SRX14267139
SRR18116363	NN	SRR18116363	SRX14267138
SRR18116487	NN	SRR18116487	SRX14267014
SRR18116488	NN	SRR18116488	SRX14267013
SRR18116489	NN	SRR18116489	SRX14267012
SRR18116490	NN	SRR18116490	SRX14267011
SRR18116492	NN	SRR18116492	SRX14267009
SRR18116493	NN	SRR18116493	SRX14267008
SRR18116361	EC	SRR18116361	SRX14267140
SRR18116372	EC	SRR18116372	SRX14267129
SRR18116383	EC	SRR18116383	SRX14267118
SRR18116436	EC	SRR18116436	SRX14267065
SRR18116459	EC	SRR18116459	SRX14267042
SRR18116470	EC	SRR18116470	SRX14267031
SRR18116491	EC	SRR18116491	SRX14267010
SRR18116526	EC	SRR18116526	SRX14266975
SRR18116537	EC	SRR18116537	SRX14266964
SRR18116548	EC	SRR18116548	SRX14266953
SRR18116567	EC	SRR18116567	SRX14266934
SRR18116578	EC	SRR18116578	SRX14266923
SRR18116589	EC	SRR18116589	SRX14266912
SRR18116623	EC	SRR18116623	SRX14266878
SRR18116624	EC	SRR18116624	SRX14266877
SRR18116625	EC	SRR18116625	SRX14266876
SRR18116364	EL	SRR18116364	SRX14267137
SRR18116365	EL	SRR18116365	SRX14267136
SRR18116366	EL	SRR18116366	SRX14267135
SRR18116367	EL	SRR18116367	SRX14267134
SRR18116368	EL	SRR18116368	SRX14267133
SRR18116369	EL	SRR18116369	SRX14267132
SRR18116370	EL	SRR18116370	SRX14267131
SRR18116371	EL	SRR18116371	SRX14267130
SRR18116373	EL	SRR18116373	SRX14267128
SRR18116374	EL	SRR18116374	SRX14267127
SRR18116375	EL	SRR18116375	SRX14267126
SRR18116376	EL	SRR18116376	SRX14267125
SRR18116377	EL	SRR18116377	SRX14267124
SRR18116378	EL	SRR18116378	SRX14267123
SRR18116379	EL	SRR18116379	SRX14267122
SRR18116380	EL	SRR18116380	SRX14267121
SRR18116381	CC	SRR18116381	SRX14267120
SRR18116382	CC	SRR18116382	SRX14267119
SRR18116384	CC	SRR18116384	SRX14267117
SRR18116558	CC	SRR18116558	SRX14266943
SRR18116559	CC	SRR18116559	SRX14266942
SRR18116560	CC	SRR18116560	SRX14266941
SRR18116561	CC	SRR18116561	SRX14266940
SRR18116562	CC	SRR18116562	SRX14266939
SRR18116563	CC	SRR18116563	SRX14266938
SRR18116564	CC	SRR18116564	SRX14266937
SRR18116565	CC	SRR18116565	SRX14266936
SRR18116566	CC	SRR18116566	SRX14266935
SRR18116568	CC	SRR18116568	SRX14266933
SRR18116569	CC	SRR18116569	SRX14266932
SRR18116570	CC	SRR18116570	SRX14266931
SRR18116571	CC	SRR18116571	SRX14266930
SRR18116385	CP	SRR18116385	SRX14267116
SRR18116386	CP	SRR18116386	SRX14267115
SRR18116387	CP	SRR18116387	SRX14267114
SRR18116388	CP	SRR18116388	SRX14267113
SRR18116389	CP	SRR18116389	SRX14267112
SRR18116514	CP	SRR18116514	SRX14266987
SRR18116515	CP	SRR18116515	SRX14266986
SRR18116516	CP	SRR18116516	SRX14266985
SRR18116517	CP	SRR18116517	SRX14266984
SRR18116518	CP	SRR18116518	SRX14266983
SRR18116519	CP	SRR18116519	SRX14266982
SRR18116520	CP	SRR18116520	SRX14266981
SRR18116522	CP	SRR18116522	SRX14266979
SRR18116523	CP	SRR18116523	SRX14266978
SRR18116524	CP	SRR18116524	SRX14266977
SRR18116525	CP	SRR18116525	SRX14266976
SRR18116390	SG	SRR18116390	SRX14267111
SRR18116392	SG	SRR18116392	SRX14267109
SRR18116393	SG	SRR18116393	SRX14267108
SRR18116394	SG	SRR18116394	SRX14267107
SRR18116395	SG	SRR18116395	SRX14267106
SRR18116396	SG	SRR18116396	SRX14267105
SRR18116397	SG	SRR18116397	SRX14267104
SRR18116398	SG	SRR18116398	SRX14267103
SRR18116399	SG	SRR18116399	SRX14267102
SRR18116400	SG	SRR18116400	SRX14267101
SRR18116401	SG	SRR18116401	SRX14267100
SRR18116403	SG	SRR18116403	SRX14267098
SRR18116404	SG	SRR18116404	SRX14267097
SRR18116405	SG	SRR18116405	SRX14267096
SRR18116406	SG	SRR18116406	SRX14267095
SRR18116407	SG	SRR18116407	SRX14267094
SRR18116408	SG	SRR18116408	SRX14267093
SRR18116391	NC	SRR18116391	SRX14267110
SRR18116402	NC	SRR18116402	SRX14267099
SRR18116413	NC	SRR18116413	SRX14267088
SRR18116424	NC	SRR18116424	SRX14267077
SRR18116435	NC	SRR18116435	SRX14267066
SRR18116447	NC	SRR18116447	SRX14267054
SRR18116494	NC	SRR18116494	SRX14267007
SRR18116495	NC	SRR18116495	SRX14267006
SRR18116499	NC	SRR18116499	SRX14267002
SRR18116510	NC	SRR18116510	SRX14266991
SRR18116521	NC	SRR18116521	SRX14266980
SRR18116588	NC	SRR18116588	SRX14266913
SRR18116599	NC	SRR18116599	SRX14266902
SRR18116610	NC	SRR18116610	SRX14266891
SRR18116621	NC	SRR18116621	SRX14266880
SRR18116409	AN	SRR18116409	SRX14267092
SRR18116410	AN	SRR18116410	SRX14267091
SRR18116411	AN	SRR18116411	SRX14267090
SRR18116412	AN	SRR18116412	SRX14267089
SRR18116414	AN	SRR18116414	SRX14267087
SRR18116415	AN	SRR18116415	SRX14267086
SRR18116416	AN	SRR18116416	SRX14267085
SRR18116417	AN	SRR18116417	SRX14267084
SRR18116418	AN	SRR18116418	SRX14267083
SRR18116419	AN	SRR18116419	SRX14267082
SRR18116420	AN	SRR18116420	SRX14267081
SRR18116421	AN	SRR18116421	SRX14267080
SRR18116422	AN	SRR18116422	SRX14267079
SRR18116423	AN	SRR18116423	SRX14267078
SRR18116425	AN	SRR18116425	SRX14267076
SRR18116426	AN	SRR18116426	SRX14267075
SRR18116427	TL	SRR18116427	SRX14267074
SRR18116428	TL	SRR18116428	SRX14267073
SRR18116429	TL	SRR18116429	SRX14267072
SRR18116430	TL	SRR18116430	SRX14267071
SRR18116431	TL	SRR18116431	SRX14267070
SRR18116432	TL	SRR18116432	SRX14267069
SRR18116433	TL	SRR18116433	SRX14267068
SRR18116434	TL	SRR18116434	SRX14267067
SRR18116437	TL	SRR18116437	SRX14267064
SRR18116438	TL	SRR18116438	SRX14267063
SRR18116439	TL	SRR18116439	SRX14267062
SRR18116440	TL	SRR18116440	SRX14267061
SRR18116441	TL	SRR18116441	SRX14267060
SRR18116442	TL	SRR18116442	SRX14267059
SRR18116443	TL	SRR18116443	SRX14267058
SRR18116444	TL	SRR18116444	SRX14267057
SRR18116445	AT	SRR18116445	SRX14267056
SRR18116446	AT	SRR18116446	SRX14267055
SRR18116448	AT	SRR18116448	SRX14267053
SRR18116590	AT	SRR18116590	SRX14266911
SRR18116591	AT	SRR18116591	SRX14266910
SRR18116592	AT	SRR18116592	SRX14266909
SRR18116593	AT	SRR18116593	SRX14266908
SRR18116594	AT	SRR18116594	SRX14266907
SRR18116595	AT	SRR18116595	SRX14266906
SRR18116596	AT	SRR18116596	SRX14266905
SRR18116597	AT	SRR18116597	SRX14266904
SRR18116598	AT	SRR18116598	SRX14266903
SRR18116600	AT	SRR18116600	SRX14266901
SRR18116601	AT	SRR18116601	SRX14266900
SRR18116602	AT	SRR18116602	SRX14266899
SRR18116603	AT	SRR18116603	SRX14266898
SRR18116449	TB	SRR18116449	SRX14267052
SRR18116450	TB	SRR18116450	SRX14267051
SRR18116451	TB	SRR18116451	SRX14267050
SRR18116452	TB	SRR18116452	SRX14267049
SRR18116453	TB	SRR18116453	SRX14267048
SRR18116454	TB	SRR18116454	SRX14267047
SRR18116455	TB	SRR18116455	SRX14267046
SRR18116456	TB	SRR18116456	SRX14267045
SRR18116457	TB	SRR18116457	SRX14267044
SRR18116458	TB	SRR18116458	SRX14267043
SRR18116460	TB	SRR18116460	SRX14267041
SRR18116461	TB	SRR18116461	SRX14267040
SRR18116462	TB	SRR18116462	SRX14267039
SRR18116463	TB	SRR18116463	SRX14267038
SRR18116464	TB	SRR18116464	SRX14267037
SRR18116465	TB	SRR18116465	SRX14267036
SRR18116466	ST	SRR18116466	SRX14267035
SRR18116467	ST	SRR18116467	SRX14267034
SRR18116468	ST	SRR18116468	SRX14267033
SRR18116469	ST	SRR18116469	SRX14267032
SRR18116471	ST	SRR18116471	SRX14267030
SRR18116472	ST	SRR18116472	SRX14267029
SRR18116473	ST	SRR18116473	SRX14267028
SRR18116474	ST	SRR18116474	SRX14267027
SRR18116475	ST	SRR18116475	SRX14267026
SRR18116476	ST	SRR18116476	SRX14267025
SRR18116477	ST	SRR18116477	SRX14267024
SRR18116478	ST	SRR18116478	SRX14267023
SRR18116479	ST	SRR18116479	SRX14267022
SRR18116480	ST	SRR18116480	SRX14267021
SRR18116527	ST	SRR18116527	SRX14266974
SRR18116528	ST	SRR18116528	SRX14266973
SRR18116481	GO	SRR18116481	SRX14267020
SRR18116482	GO	SRR18116482	SRX14267019
SRR18116483	GO	SRR18116483	SRX14267018
SRR18116484	GO	SRR18116484	SRX14267017
SRR18116485	GO	SRR18116485	SRX14267016
SRR18116486	GO	SRR18116486	SRX14267015
SRR18116549	GO	SRR18116549	SRX14266952
SRR18116550	GO	SRR18116550	SRX14266951
SRR18116551	GO	SRR18116551	SRX14266950
SRR18116552	GO	SRR18116552	SRX14266949
SRR18116553	GO	SRR18116553	SRX14266948
SRR18116554	GO	SRR18116554	SRX14266947
SRR18116555	GO	SRR18116555	SRX14266946
SRR18116556	GO	SRR18116556	SRX14266945
SRR18116557	GO	SRR18116557	SRX14266944
SRR18116622	GO	SRR18116622	SRX14266879
SRR18116496	PB	SRR18116496	SRX14267005
SRR18116497	PB	SRR18116497	SRX14267004
SRR18116498	PB	SRR18116498	SRX14267003
SRR18116500	PB	SRR18116500	SRX14267001
SRR18116501	PB	SRR18116501	SRX14267000
SRR18116502	PB	SRR18116502	SRX14266999
SRR18116503	PB	SRR18116503	SRX14266998
SRR18116504	PB	SRR18116504	SRX14266997
SRR18116505	PB	SRR18116505	SRX14266996
SRR18116506	PB	SRR18116506	SRX14266995
SRR18116507	PB	SRR18116507	SRX14266994
SRR18116508	PB	SRR18116508	SRX14266993
SRR18116509	PB	SRR18116509	SRX14266992
SRR18116511	PB	SRR18116511	SRX14266990
SRR18116512	PB	SRR18116512	SRX14266989
SRR18116513	PB	SRR18116513	SRX14266988
SRR18116529	CF	SRR18116529	SRX14266972
SRR18116530	CF	SRR18116530	SRX14266971
SRR18116531	CF	SRR18116531	SRX14266970
SRR18116532	CF	SRR18116532	SRX14266969
SRR18116533	CF	SRR18116533	SRX14266968
SRR18116534	CF	SRR18116534	SRX14266967
SRR18116535	CF	SRR18116535	SRX14266966
SRR18116536	CF	SRR18116536	SRX14266965
SRR18116538	CF	SRR18116538	SRX14266963
SRR18116539	CF	SRR18116539	SRX14266962
SRR18116540	CF	SRR18116540	SRX14266961
SRR18116541	CF	SRR18116541	SRX14266960
SRR18116542	CF	SRR18116542	SRX14266959
SRR18116543	CF	SRR18116543	SRX14266958
SRR18116544	CF	SRR18116544	SRX14266957
SRR18116545	CF	SRR18116545	SRX14266956
SRR18116546	CF	SRR18116546	SRX14266955
SRR18116547	CF	SRR18116547	SRX14266954
SRR18116572	VM	SRR18116572	SRX14266929
SRR18116573	VM	SRR18116573	SRX14266928
SRR18116574	VM	SRR18116574	SRX14266927
SRR18116575	VM	SRR18116575	SRX14266926
SRR18116576	VM	SRR18116576	SRX14266925
SRR18116577	VM	SRR18116577	SRX14266924
SRR18116579	VM	SRR18116579	SRX14266922
SRR18116580	VM	SRR18116580	SRX14266921
SRR18116581	VM	SRR18116581	SRX14266920
SRR18116582	VM	SRR18116582	SRX14266919
SRR18116583	VM	SRR18116583	SRX14266918
SRR18116584	VM	SRR18116584	SRX14266917
SRR18116585	VM	SRR18116585	SRX14266916
SRR18116586	VM	SRR18116586	SRX14266915
SRR18116587	VM	SRR18116587	SRX14266914
SRR18116604	CH	SRR18116604	SRX14266897
SRR18116605	CH	SRR18116605	SRX14266896
SRR18116606	CH	SRR18116606	SRX14266895
SRR18116607	CH	SRR18116607	SRX14266894
SRR18116608	CH	SRR18116608	SRX14266893
SRR18116609	CH	SRR18116609	SRX14266892
SRR18116611	CH	SRR18116611	SRX14266890
SRR18116612	CH	SRR18116612	SRX14266889
SRR18116613	CH	SRR18116613	SRX14266888
SRR18116614	CH	SRR18116614	SRX14266887
SRR18116615	CH	SRR18116615	SRX14266886
SRR18116616	CH	SRR18116616	SRX14266885
SRR18116617	CH	SRR18116617	SRX14266884
SRR18116618	CH	SRR18116618	SRX14266883
SRR18116619	CH	SRR18116619	SRX14266882
SRR18116620	CH	SRR18116620	SRX14266881
